"ID",Name,Address,Featured image,Bing Maps URL,Latitude,Longitude,Rating,Rating Info,Category,Open Hours,Website,Phone,Emails,Social Medias,Facebook,Instagram,Twitter
ypid:YN628B66C831B9B842,Jts Seamless Gutters,"Private Address in , Texas",,https://www.bing.com/maps?cp=32.225486755371094%7E-95.00079345703125&lvl=16.0&q=Jts%20Seamless%20Gutters%20%2C%20Private%20Address%20in%20%2C%20Texas,32.22548676,-95.00079346,,,Home service,Open · Closes 7 PM,http://jtseamlessgutters.com/,(903) 258-7985,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN9DEC3956D07483E0,S and S Gutter Services,"4529 County Road 149, Flint, TX 75762",https://www.bing.com/th?id=OLC.L2uZF3lZAj6EXQ480x360&pid=Local,https://www.bing.com/maps?cp=32.18722152709961%7E-95.32620239257812&lvl=16.0&q=S%20and%20S%20Gutter%20Services%20%2C%204529%20County%20Road%20149%2C%20Flint%2C%20TX%2075762,32.18722153,-95.32620239,5,Angi (30),Home service,Open · Closes 5:30 PM,https://www.ssgutterservices.com/,(903) 245-8503,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN8B204BC5ABF3CAC7,Texas Rain Pros,"8089 TX-31, Tyler, TX 75705",https://www.bing.com/th?id=OLC.Cok3vp6uHlqx6Q480x360&pid=Local,https://www.bing.com/maps?cp=32.34971237182617%7E-95.25525665283203&lvl=16.0&q=Texas%20Rain%20Pros%20%2C%208089%20TX-31%2C%20Tyler%2C%20TX%2075705,32.34971237,-95.25525665,,,Gutter service,Closed · Opens tomorrow 8:30 AM,https://www.txrainpros.com/,(903) 270-7903,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN67AFF80DE70B8CB2,The Gutter Guy,"624 Leach St, Kilgore, TX 75662",https://www.bing.com/th?id=OLC.+I1HcRR9djPiHQ480x360&pid=Local,https://www.bing.com/maps?cp=32.36144256591797%7E-94.87433624267578&lvl=16.0&q=The%20Gutter%20Guy%20%2C%20624%20Leach%20St%2C%20Kilgore%2C%20TX%2075662,32.36144257,-94.87433624,,,Gutter service,Closes in 1 min,https://www.thegutterguy.com/,(903) 522-2191,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN17466C48B1680688,Good Choice Roofing,"17320 Old Bullard Rd, Tyler, TX 75703",https://www.bing.com/th?id=OLC.WIgKd7gjqwMiGw480x360&pid=Local,https://www.bing.com/maps?cp=32.22843551635742%7E-95.30683135986328&lvl=16.0&q=Good%20Choice%20Roofing%20%2C%2017320%20Old%20Bullard%20Rd%2C%20Tyler%2C%20TX%2075703,32.22843552,-95.30683136,,,Home service,Open · Closes 7 PM,http://www.goodchoiceroofing.com/,(903) 941-0500,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN9EACCE6269F88E41,Premier Seamless Gutters,"Private Address in , Texas",,https://www.bing.com/maps?cp=32.41465759277344%7E-95.25991821289062&lvl=16.0&q=Premier%20Seamless%20Gutters%20%2C%20Private%20Address%20in%20%2C%20Texas,32.41465759,-95.25991821,,,Gutter service,Closes in 1 min,https://www.premierseamlessgutterstexas.net/,(903) 343-8269,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN48354BF0791371B0,SRS Building Products,"10145 State Highway 64 E, Tyler, TX 75707",https://www.bing.com/th?id=OLC.TFZzYLcpDezArQ480x360&pid=Local,https://www.bing.com/maps?cp=32.33174133300781%7E-95.24223327636719&lvl=16.0&q=SRS%20Building%20Products%20%2C%2010145%20State%20Highway%2064%20E%2C%20Tyler%2C%20TX%2075707,32.33174133,-95.24223328,,,Retail,Closed · Opens tomorrow 7:30 AM,https://www.srsdistribution.com/en/markets/our-brands/SSTYL/,(903) 705-7177,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YNE24C9D745C37017C,Rose City Gutter Cleaning,"Private Address in , Texas",https://www.bing.com/th?id=OLC.7IBrcfaIc+fccg480x360&pid=Local,https://www.bing.com/maps?cp=32.4101448059082%7E-95.0411148071289&lvl=16.0&q=Rose%20City%20Gutter%20Cleaning%20%2C%20Private%20Address%20in%20%2C%20Texas,32.41014481,-95.04111481,,,Home service,Open · Closes 6 PM,https://www.rosecityguttercleaning.com/,(903) 746-1598,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN281EAFF8D61B9BEF,Steve's Window Cleaning,"13041 State Highway 64 E, Tyler, TX 75707",,https://www.bing.com/maps?cp=32.31187438964844%7E-95.19166564941406&lvl=16.0&q=Steve's%20Window%20Cleaning%20%2C%2013041%20State%20Highway%2064%20E%2C%20Tyler%2C%20TX%2075707,32.31187439,-95.19166565,,,Cleaning services,Closes in 1 min,http://steveswindowcleaningtyler.com/,(903) 534-8151,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN9619329A7EB700F3,Power Clean,"19248 Hillside Dr, Tyler, TX 75703",,https://www.bing.com/maps?cp=32.198612213134766%7E-95.2540283203125&lvl=16.0&q=Power%20Clean%20%2C%2019248%20Hillside%20Dr%2C%20Tyler%2C%20TX%2075703,32.19861221,-95.25402832,,,Cleaning services,Open 24 hours,http://powercleantyler.com/,(903) 839-8016,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YNF9498CCD864FDC4E,Adonis Gutter Solutions,"Private Address in , Texas",,https://www.bing.com/maps?cp=32.46077346801758%7E-95.35507202148438&lvl=16.0&q=Adonis%20Gutter%20Solutions%20%2C%20Private%20Address%20in%20%2C%20Texas,32.46077347,-95.35507202,,,Gutter service,Closes in 1 min,https://www.adonisgutters.com/,(903) 569-1186,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4EE8CFDB393632F9,Wright's Gutter Company,"10633 FM 2710, Lindale, TX 75771",https://www.bing.com/th?id=OLC.ivTE7Kibl1ad1Q480x360&pid=Local,https://www.bing.com/maps?cp=32.553497314453125%7E-95.33856201171875&lvl=16.0&q=Wright's%20Gutter%20Company%20%2C%2010633%20FM%202710%2C%20Lindale%2C%20TX%2075771,32.55349731,-95.33856201,5,Angi (4),Home service,Closes in 1 min,https://www.wrightsguttercompanylindale.com/,(903) 439-7343,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN11E2F3AD72598E46,Lone Star Exteriors,"2724 E Commerce St, Tyler, TX 75708",https://www.bing.com/th?id=OLC.sCmhSHyv1tERzg480x360&pid=Local,https://www.bing.com/maps?cp=32.356937408447266%7E-95.26679992675781&lvl=16.0&q=Lone%20Star%20Exteriors%20%2C%202724%20E%20Commerce%20St%2C%20Tyler%2C%20TX%2075708,32.35693741,-95.26679993,5,Yelp (1),Home service,Closes in 1 min,https://lonestarexteriorservices.com/,(903) 372-3687,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4C4AD2ED7AFE3E9,Bankston Gutter Company,"19616 County Road 431, Lindale, TX 75771",,https://www.bing.com/maps?cp=32.553199768066406%7E-95.46121978759766&lvl=16.0&q=Bankston%20Gutter%20Company%20%2C%2019616%20County%20Road%20431%2C%20Lindale%2C%20TX%2075771,32.55319977,-95.46121979,,,Home service,Open · Closes 6 PM,,(830) 370-1912,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YNDE7E9664084169E2,Glenwood Blind & Awning,"3025 Old Henderson Hwy, Tyler, TX 75707",https://www.bing.com/th?id=OLC.FeAwWxof/eo33A480x360&pid=Local,https://www.bing.com/maps?cp=32.338661193847656%7E-95.26263427734375&lvl=16.0&q=Glenwood%20Blind%20%26%20Awning%20%2C%203025%20Old%20Henderson%20Hwy%2C%20Tyler%2C%20TX%2075707,32.33866119,-95.26263428,2,Yelp (5),Awning supplier,Closed · Opens tomorrow 8 AM,http://www.glenwoodblindandawning.com/,(903) 597-2088,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN157EA61DBE4FEE9D,SGS Gutters,"Private Address in Berryville, Texas",,https://www.bing.com/maps?cp=32.08177947998047%7E-95.45853424072266&lvl=16.0&q=SGS%20Gutters%20%2C%20Private%20Address%20in%20Berryville%2C%20Texas,32.08177948,-95.45853424,,,Gutter service,Closes in 1 min,https://sgsgutters.net/,(903) 724-7626,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN912C229D5798D04F,Texas Gutter Pros,"180 Lake Harris Cir, White Oak, TX 75693",https://www.bing.com/th?id=OLC.eBM8+VJRaCCAgw480x360&pid=Local,https://www.bing.com/maps?cp=32.51396179199219%7E-94.83499908447266&lvl=16.0&q=Texas%20Gutter%20Pros%20%2C%20180%20Lake%20Harris%20Cir%2C%20White%20Oak%2C%20TX%2075693,32.51396179,-94.83499908,5,Yelp (1),Gutter service,Closes in 1 min,https://www.texasgutterpros.com/,(903) 932-9565,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
